_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,PROFESSOR4,DAY1,TIME1,ROOM1,DAY2,TIME2,ROOM2,DAY3,TIME3,ROOM3,DAY4,TIME4,ROOM4
67,68,ELECTROMAGNETISMO,A,LUNES/8-10/ G1,MARTES/10-12/ F7,,,JOSE TORRES ARENAS,JOSE TORRES ARENAS,,,,LUNES,8-10,G1,MARTES,10-12,F7,,,,,,
68,69,ELECTROMAGNETISMO,B,MARTES/8-10/F7,JUEVES/8-10/ F7,,,RAMON CASTANEDA PRIEGO,RAMON CASTANEDA PRIEGO,,,,MARTES,8-10,F7,JUEVES,8-10,F7,,,,,,
69,70,ESTADISTICA AVANZADA,A,MARTES/8-10/G2,JUEVES/8-10/G2,,,FRANCISCO MIGUEL VARGAS LUNA,FRANCISCO MIGUEL VARGAS LUNA,,,,MARTES,8-10,G2,JUEVES,8-10,G2,,,,,,
70,71,ESTRUCTURA DE LA MATERIA,A,MIERCOLES/12-13/ AUDITORIO EDIF. G,JUEVES/10-12/C3,,,SVLETANA KASHINA,SVLETANA KASHINA,,,,MIERCOLES,12-13,AUDITORIO EDIF. G,JUEVES,10-12,C3,,,,,,
71,72,EVALUACION DE TECNOLOGIA HOSPITALARIA,A,MARTES/17-19/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,JUEVES/17-19/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,,,EDGAR GONZALEZ CAMPOS,EDGAR GONZALEZ CAMPOS,,,,MARTES,17-19,LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,JUEVES,17-19,LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,,,,,,
72,73,FENOMENOS DE TRANSPORTE,A,MIERCOLES/8-10/F5,VIERNES/8-10/F5,,,SANTIAGO GUTIERREZ VARGAS,SANTIAGO GUTIERREZ VARGAS,,,,MIERCOLES,8-10,F5,VIERNES,8-10,F5,,,,,,
73,74,FISICA CUANTICA,A-I,LUNES/15-17/F1,MIERCOLES/15-17/F1,"JUEVES/14-16/LAB. DE FISICA MODERNA, EDIF. G",,MANUEL MARTINEZ JIMENEZ/GERARDO GUTIERREZ TORRES,MANUEL MARTINEZ JIMENEZ,GERARDO GUTIERREZ TORRES,,,LUNES,15-17,F1,MIERCOLES,15-17,F1,JUEVES,14-16,"LAB. DE FISICA MODERNA, EDIF. G",,,
74,75,FISICA CUANTICA,A-II,LUNES/15-17/F1,MIERCOLES/15-17/F1,"MIERCOLES/8-10/LAB DE FISICA MODERNA,  EDIF. G",,MANUEL MARTINEZ JIMENEZ/GERARDO GUTIERREZ TORRES,MANUEL MARTINEZ JIMENEZ,GERARDO GUTIERREZ TORRES,,,LUNES,15-17,F1,MIERCOLES,15-17,F1,MIERCOLES,8-10,"LAB DE FISICA MODERNA,  EDIF. G",,,
75,76,FISICA DE LASERES,A,LUNES/17-19/F9,MIERCOLES/17-19/F9,,,RIGOBERTO CASTRO BELTRAN,RIGOBERTO CASTRO BELTRAN,,,,LUNES,17-19,F9,MIERCOLES,17-19,F9,,,,,,
76,77,FISICA GENERAL,A-II,MARTES/10-12/AUDITORIO G,VIERNES/8-10/ AUDITORIO G,"LUNES/10-12/LAB. DE FISICA CLASICA, EDIFICIO C",,GEMMA ELIZABETH PEREZ CUELLAR/MODESTO ANTONIO SOSA AQUINO,GEMMA ELIZABETH PEREZ CUELLAR,MODESTO ANTONIO SOSA AQUINO,,,MARTES,10-12,AUDITORIO G,VIERNES,8-10,AUDITORIO G,LUNES,10-12,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
77,78,FISICA GENERAL,A-III,MARTES/10-12/AUDITORIO G,VIERNES/8-10/ AUDITORIO G,"MIERCOLES/8-10/LAB. DE FISICA CLASICA, EDIFICIO C",,GEMMA ELIZABETH PEREZ CUELLAR/JOSE SOCORRO GARCIA DIAZ,GEMMA ELIZABETH PEREZ CUELLAR,JOSE SOCORRO GARCIA DIAZ,,,MARTES,10-12,AUDITORIO G,VIERNES,8-10,AUDITORIO G,MIERCOLES,8-10,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
78,79,FISICA GENERAL,B-I,JUEVES/12-14/AUDITORIO EDIF. G,VIERNES/8-10/C2,"MARTES/8-10/LAB. DE FISICA CLASICA, EDIFICIO C",,GUSTAVO GUTIERREZ CANO/ANGELICA HERNANDEZ RAYAS,GUSTAVO GUTIERREZ CANO,ANGELICA HERNANDEZ RAYAS,,,JUEVES,12-14,AUDITORIO EDIF. G,VIERNES,8-10,C2,MARTES,8-10,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
79,80,FISICA RELATIVISTA,A,MIERCOLES/10-12/F2,VIERNES/10-12/F2,,,OSCAR GERARDO LOAIZA BRITO,OSCAR GERARDO LOAIZA BRITO,,,,MIERCOLES,10-12,F2,VIERNES,10-12,F2,,,,,,
80,81,FISICA RELATIVISTA,B,LUNES/8-10/C3,MIERCOLES/8-10/F8,,,EDGAR VALENCIA RODRIGUEZ,EDGAR VALENCIA RODRIGUEZ,,,,LUNES,8-10,C3,MIERCOLES,8-10,F8,,,,,,
81,82,"FLUIDOS, ONDAS Y TEMPERATURA",A-II,MIERCOLES/12-14/F9,VIERNES/8-10/F9,"JUEVES/10-12/LAB. DE TERMODINAMICA,  EDIF. G",,ALBERTO SANCHEZ LUVIANO/PEDRO ULISES MUNOZ GONZALEZ,ALBERTO SANCHEZ LUVIANO,PEDRO ULISES MUNOZ GONZALEZ,,,MIERCOLES,12-14,F9,VIERNES,8-10,F9,JUEVES,10-12,"LAB. DE TERMODINAMICA,  EDIF. G",,,
82,83,"FLUIDOS, ONDAS Y TEMPERATURA",B-I,MARTES/11-13/F9,VIERNES/12-14/F9,"MIERCOLES/8-10/LAB. DE TERMODINAMICA, EDIF. G",,WILFREDO YUPANQUI CARPIO/CESAR SERNA HERNANDEZ,WILFREDO YUPANQUI CARPIO,CESAR SERNA HERNANDEZ,,,MARTES,11-13,F9,VIERNES,12-14,F9,MIERCOLES,8-10,"LAB. DE TERMODINAMICA, EDIF. G",,,
83,84,"FLUIDOS, ONDAS Y TEMPERATURA",B-III,MARTES/11-13/F9,VIERNES/12-14/F9,"LUNES/10-12/LAB. DE TERMODINAMICA, EDIF. G",,WILFREDO YUPANQUI CARPIO/EDGAR VALENCIA RODRIGUEZ,WILFREDO YUPANQUI CARPIO,EDGAR VALENCIA RODRIGUEZ,,,MARTES,11-13,F9,VIERNES,12-14,F9,LUNES,10-12,"LAB. DE TERMODINAMICA, EDIF. G",,,
